mean,std,min,max,median
7.635174560546875,0.07370695729453636,7.53631591796875,7.738037109375,7.650146484375
7.48408935546875,0.03768126510892692,7.41241455078125,7.55615234375,7.4822998046875
7.57646728515625,0.02311431822826133,7.53143310546875,7.615966796875,7.584228515625
7.076071166992188,0.07629979241541988,6.96929931640625,7.18902587890625,7.059478759765625
7.022207641601563,0.061276140224526765,6.90185546875,7.15179443359375,7.032623291015625
7.489407348632812,0.09216570529299468,7.36297607421875,7.591552734375,7.52471923828125
7.33189208984375,0.06401042978450339,7.1966552734375,7.41302490234375,7.33734130859375
4.28175537109375,0.06991671091928657,4.18792724609375,4.41619873046875,4.27215576171875
6.833904418945313,0.17234599913060691,6.52984619140625,7.03277587890625,6.9012451171875
8.0338671875,0.023518455756134548,7.9815673828125,8.06793212890625,8.03955078125
7.529205932617187,0.03487367223061046,7.4920654296875,7.6123046875,7.5079345703125
5.094248657226562,0.07696341151477076,4.91424560546875,5.28594970703125,5.099639892578125
7.39599609375,0.03892697789674601,7.35870361328125,7.46673583984375,7.37060546875
5.057319946289063,0.10399246955271901,4.74090576171875,5.1397705078125,5.0872802734375
7.581447143554687,0.05624864153322131,7.46337890625,7.647705078125,7.603759765625
7.84222412109375,0.01785280019130336,7.8277587890625,7.88848876953125,7.83203125
8.166986083984375,0.06605958276540595,8.05206298828125,8.2647705078125,8.16925048828125
7.455064697265625,0.024710618981107324,7.40753173828125,7.49725341796875,7.456817626953125
7.261768798828125,0.07443403544083274,7.08587646484375,7.37884521484375,7.288818359375
7.536807250976563,0.021415031401516505,7.467041015625,7.56317138671875,7.54638671875
7.457439575195313,0.008724629213649231,7.43927001953125,7.4713134765625,7.45849609375
7.89850341796875,0.029716955362264773,7.857666015625,7.95867919921875,7.89154052734375
4.136107177734375,0.44863877328335844,3.580322265625,4.99298095703125,4.08538818359375
3.3612774658203124,0.1693467419044303,3.13995361328125,3.7176513671875,3.3367919921875
7.4545135498046875,0.012643179783946096,7.42889404296875,7.4713134765625,7.4591064453125
7.307869262695313,0.03518068671643385,7.25189208984375,7.39715576171875,7.29888916015625
6.804046630859375,0.12071610346513158,6.54510498046875,6.99188232421875,6.81976318359375
7.2367724609375,0.052435046358582184,7.1337890625,7.2991943359375,7.2515869140625
7.44545654296875,0.14676323800072158,7.1875,7.65350341796875,7.47406005859375
7.36379150390625,0.06988257148274218,7.15362548828125,7.435302734375,7.39166259765625
6.3777313232421875,0.2841493518506791,5.8868408203125,6.75079345703125,6.342315673828125
7.493049926757813,0.029860477767874514,7.44110107421875,7.54425048828125,7.4969482421875
4.924756469726563,0.1688261649177685,4.603271484375,5.157470703125,4.913787841796875
7.470242919921875,0.030040188661314277,7.42950439453125,7.5262451171875,7.46673583984375
7.35505126953125,0.06543210472721794,7.2479248046875,7.5238037109375,7.36328125
7.989072265625,0.0294205431285828,7.9119873046875,8.026123046875,7.997589111328125
7.556317749023438,0.03383061275521344,7.47100830078125,7.591552734375,7.568359375
7.776334838867188,0.02074602082079938,7.74810791015625,7.80517578125,7.776336669921875
7.473001098632812,0.05504336796295253,7.36419677734375,7.54730224609375,7.466888427734375
7.062274169921875,0.09331738381378582,6.91497802734375,7.22320556640625,7.0831298828125
7.629268188476562,0.014340947320304621,7.5885009765625,7.65045166015625,7.626953125
7.522060546875,0.0732260561132589,7.34954833984375,7.591552734375,7.5433349609375
8.026647338867187,0.01788615594973792,7.9791259765625,8.05999755859375,8.028106689453125
7.587869873046875,0.028283097742308718,7.53631591796875,7.62054443359375,7.593841552734375
7.647236938476563,0.012146015009525996,7.61932373046875,7.66876220703125,7.64892578125
