id,startle_index,phase,EDAmean,EDAstd,EDAslope,EDArange,RESPrate,RESPamplitude,RESPstd,RESPrange,mae
5,2,post,632.115601,8.466429,-0.002234,42.724609,7.494942,1.033325,0.286468,1.033325,0.612178
7,2,pre,2726.653748,16.720347,-0.004224,59.509277,7.359550,0.777283,0.210177,0.777283,2.213034
7,2,startle,3062.271118,155.873372,0.023411,532.226562,7.451814,0.814819,0.218048,0.814819,1.118556
7,2,post,2898.754730,41.694538,-0.014037,161.132812,7.320229,0.932312,0.235411,0.932312,1.042871
9,2,pre,5279.686157,37.929153,-0.004691,154.418945,8.064273,0.453491,0.120201,0.453491,1.031442
9,2,startle,5501.499939,184.264885,-0.021434,659.179688,8.129637,0.715637,0.146843,0.715637,1.548065
9,2,post,5278.821289,108.186003,-0.035367,397.949219,8.158700,0.443115,0.114641,0.443115,0.922286
11,2,pre,1202.414093,7.540934,-0.002470,32.043457,7.321012,1.083374,0.331868,1.083374,1.722462
11,2,startle,1499.578918,111.357389,0.012199,426.025391,7.387726,1.235352,0.377360,1.235352,2.633045
11,2,post,1437.585724,17.315646,-0.005917,63.781738,7.344167,1.251526,0.370363,1.251526,1.462689
12,2,pre,1410.450775,17.325309,0.000932,61.340332,7.992099,0.422668,0.105913,0.422668,1.047064
12,2,startle,1549.644104,69.196481,0.001030,228.271484,7.980456,0.451355,0.097409,0.451355,2.041007
12,2,post,1421.426788,25.429647,-0.008743,91.857910,7.912562,0.356140,0.101894,0.356140,1.238257
13,2,pre,1004.206573,3.033840,0.000690,12.817383,7.685534,0.687561,0.170216,0.687561,1.780080
13,2,startle,1138.359833,60.035651,0.015361,182.189941,7.782504,0.513611,0.125274,0.513611,3.315943
13,2,post,1111.859070,16.586429,-0.005666,64.392090,7.637051,0.907593,0.212418,0.907593,0.541394
15,2,pre,4159.883545,55.819001,-0.019207,199.890137,7.653138,0.448608,0.109453,0.448608,0.948708
15,2,startle,4708.291412,262.407866,-0.000891,950.622559,7.724422,0.551758,0.121887,0.551758,1.744698
15,2,post,4252.431030,82.187928,-0.028073,299.987793,7.638794,0.242004,0.070120,0.242004,0.687426
16,2,pre,2338.025238,35.062360,0.002069,112.915039,6.246929,1.710815,0.494561,1.710815,1.177870
16,2,startle,2645.838501,162.211042,0.026161,485.229492,6.577576,1.800232,0.463076,1.800232,1.879871
16,2,post,2360.850220,69.318187,-0.022886,265.197754,6.401757,1.485901,0.416678,1.485901,0.999227
18,2,pre,980.898804,11.270681,-0.003737,41.503906,7.925533,0.243835,0.055222,0.243835,3.108330
18,2,startle,1226.571655,183.890994,0.058263,547.485352,8.046185,0.422058,0.120976,0.422058,2.924964
18,2,post,1190.986969,49.889785,-0.016716,192.260742,7.997684,0.191040,0.053478,0.191040,0.660638
19,2,pre,3014.192871,30.131340,-0.002938,127.258301,7.347176,0.679016,0.204067,0.679016,0.791804
19,2,startle,3072.995392,63.322297,0.012327,304.260254,7.199528,0.825195,0.231149,0.825195,1.810807
19,2,post,3032.354767,34.661304,-0.010389,118.408203,7.204012,0.798950,0.203645,0.798950,0.864439
20,2,pre,3730.430511,69.117285,-0.006064,299.682617,5.869677,2.340088,0.616100,2.340088,1.722445
20,2,startle,4238.181396,218.426008,0.027287,859.375000,5.693404,2.390747,0.605169,2.390747,1.467854
20,2,post,3891.377930,118.253799,-0.029937,400.390625,5.797022,2.243958,0.678394,2.243958,0.441393
1,3,pre,1153.051636,45.488775,-0.012233,138.244629,8.047184,0.345459,0.083050,0.345459,1.014036
1,3,startle,1295.640900,69.213821,0.022703,190.734863,7.976282,0.382080,0.079166,0.382080,6.831869
1,3,post,1302.537598,25.022468,-0.006414,108.947754,8.028603,0.403748,0.072356,0.403748,1.128271
2,3,pre,3641.352386,33.691298,0.009408,133.361816,7.563206,0.386353,0.100922,0.386353,0.480217
2,3,startle,3840.585114,76.967201,-0.004567,264.282227,7.594232,0.508728,0.141180,0.508728,2.497216
2,3,post,3776.016388,97.165527,-0.030875,311.889648,7.595554,0.410767,0.113243,0.410767,1.561726
3,3,pre,1623.542480,32.141327,0.001306,104.064941,7.211346,0.967407,0.281069,0.967407,1.153809
3,3,startle,1847.509186,104.710473,0.029314,331.420898,7.078153,1.393738,0.333187,1.393738,4.051904
3,3,post,1851.787811,43.360947,-0.013698,161.743164,7.031966,1.059570,0.292896,1.059570,2.781206
4,3,pre,1183.605591,5.998170,-0.000327,20.446777,4.504982,3.560181,0.888139,3.560181,0.589502
4,3,startle,1261.960510,37.511861,0.010825,133.056641,5.554845,3.028870,0.898340,3.028870,5.817781
4,3,post,1234.784332,26.481607,-0.009043,90.332031,4.561667,2.504883,0.595540,2.504883,3.780721
5,3,pre,613.047546,8.029888,-0.002739,32.348633,7.446760,1.014404,0.297821,1.014404,1.147059
5,3,startle,706.293427,55.982070,0.018375,176.391602,7.823236,2.154236,0.598931,2.154236,5.214901
5,3,post,698.149200,21.518380,-0.007047,80.871582,7.558878,0.921326,0.198457,0.921326,3.957751
7,3,pre,2833.283783,26.553446,-0.008254,94.604492,7.397829,0.932312,0.246042,0.932312,0.907510
7,3,startle,3189.969299,170.148050,0.037222,634.765625,7.480782,0.840454,0.196344,0.840454,2.445854
7,3,post,3014.174835,57.768674,-0.019324,223.388672,7.331250,0.543213,0.151578,0.543213,1.559953
9,3,pre,5145.759674,28.777349,-0.009490,111.083984,8.117831,0.529785,0.118039,0.529785,1.298026
9,3,startle,5373.775360,134.453251,0.027696,577.392578,8.027836,0.551758,0.114798,0.551758,5.556331
9,3,post,5264.220032,175.548671,-0.053597,614.624023,8.092202,0.398560,0.112016,0.398560,2.026892
11,3,pre,1403.914490,11.979323,-0.004110,39.978027,7.306812,1.216125,0.374950,1.216125,1.307038
11,3,startle,1555.650146,83.287012,-0.008363,311.584473,7.310443,1.238098,0.354199,1.238098,3.364154
11,3,post,1463.392181,12.367029,-0.004217,48.828125,7.207106,1.222229,0.365662,1.222229,5.262710
12,3,pre,1373.354309,15.776219,-0.005270,54.321289,7.920939,0.291443,0.086721,0.291443,0.830683
12,3,startle,1516.129425,66.658443,0.001119,234.375000,7.944929,0.491943,0.113068,0.491943,2.903561
